ID	Name	Length	I47F_1	I47F_2	I47F_3	I45F_1	I45F_2	I45F_3	logFC	logCPM	PValue	FDR
ENSG00000114374	USP9Y	11207	0.104826668364	0	0.124481808873267	97.141301360457	98.3771071908279	93.4536488056541	10.1764068074325	5.96790083872701	0	0
ENSG00000251003	ZFPM2-AS1	2201	0	0.0574169339903595	0	28.7980657094373	26.5784304605614	21.5979150577299	9.938388627678	3.23879084185686	9.44301627991944e-144	1.33575097208799e-140
ENSG00000233864	TTTY15	1770	0	0.0574169339903595	0	23.320172775577	23.9328922434222	24.3050106780448	9.83223413818849	3.86258468981718	8.84168200523126e-116	8.12948451970988e-113
ENSG00000183072	NKX2-5	2370	0	0.0574169339903595	0	13.7208175390979	16.2423741703431	15.7717744835739	9.1851837878389	2.97486859766458	3.25323962771428e-122	3.32354575077988e-119
ENSG00000123892	RAB38	2105	0	0	0	1.87813472018069	2.09182091587752	3.1190449538411	8.37088767704283	-0.258318262274013	1.76267190993051e-23	9.42260864875354e-22
ENSG00000229481	CTD-2554C21.3	2606	0	0	0	2.34766840022587	1.96877262670825	1.88319695326255	8.18509526082493	-0.474309590097991	7.76828358298808e-24	4.25151686927285e-22
ENSG00000271147	RP4-769N13.6	2739	0	0	0	1.77379390239288	2.27639334963141	1.294697905368	7.96521565217088	-0.0392745471205397	2.16950867763138e-20	9.23497571133413e-19
ENSG00000125962	ARMCX5	3360	0.0524133341820001	0.0574169339903595	0	9.75586646316083	12.2433047723419	10.8283824812597	7.91856252788823	2.26701318657652	3.94302271109224e-94	2.78877863977982e-91
ENSG00000170430	MGMT	3615	0.0524133341820001	0	0	5.42572252496645	4.1221176871704	5.41419124062984	7.58007635297567	0.544596404111409	1.23845290222631e-46	2.37228233531664e-44
ENSG00000267640	CTD-2554C21.2	1661	0	0	0	0.782556133408623	0.676765590430961	1.11814819099964	6.92144406885082	-1.47283313068371	9.01836129101013e-12	1.65177934044208e-10
ENSG00000113739	STC2	6193	0	0.0574169339903595	0	2.03464594686242	2.58401407255458	3.47214438257783	6.6866509210683	-0.223841410607825	6.21391688806788e-25	3.79626968952426e-23
ENSG00000134864	GGACT	3096	0.0524133341820001	0	0.0622409044366333	3.49541739589185	4.18364183175503	5.70844076457711	6.6249477309091	0.653395961400656	7.75002636618539e-36	8.23787484669267e-34
ENSG00000102445	KIAA0226L	6228	0	0	0	0.469533680045174	0.738289735015594	0.470799238315638	6.29924137335027	-0.416999803394902	7.5166977474445e-08	8.01301767407286e-07
ENSG00000155966	AFF2	14420	1.31033335455	0.918670943845752	0.684649948802966	65.6303743885365	72.4754423206975	68.7366887940832	6.11647130610825	4.29671529821794	7.17729849746438e-225	3.29958355174681e-221
ENSG00000185924	RTN4RL1	3623	0.0524133341820001	0	0.0622409044366333	1.09557858677207	1.16895874710802	3.58984419215674	5.43451755066672	-0.324755883691625	8.12072611818091e-12	1.4948151410133e-10
ENSG00000166407	LMO1	2092	1.729640028006	1.66509108572043	1.36929989760593	47.2142200489869	54.2642955236461	65.735343649821	5.12012835945529	4.35675476306813	3.4033634598024e-139	4.47031790445045e-136
