ID	Name	Length	G2B2_1	G2B2_2	G2B2_3	I45F_1	I45F_2	I45F_3	logFC	logCPM	PValue	FDR
ENSG00000196767	POU3F4	1506	0	0	0	14.8685665347638	14.581222266558	13.594328006364	10.9258808972768	3.45232904733707	3.42923930258553e-120	2.74175137109763e-117
ENSG00000197956	S100A6	1084	0	0	0	7.6168796985106	8.79795267560249	13.6531779111535	10.4065975231864	1.97475973260166	7.47051168977192e-60	1.73892708181286e-57
ENSG00000198121	LPAR1	6545	0	0.064825686443604	0	27.4416350781957	30.3929274248086	24.0107611540975	9.94281352544635	4.19977287265683	1.95193850449229e-119	1.4955915482962e-116
ENSG00000272511	RP11-180N14.1	1722	0	0	0	3.91278066704311	4.18364183175503	4.9433920023142	9.20227774012356	1.34266404649477	2.55580600106905e-44	3.53373808674126e-42
ENSG00000272294	RP3-326L13.3	831	0	0	0.0525981350943288	17.3205757527775	16.9806639053587	14.5359264829953	9.20054627951483	3.95794719435077	9.74938944203785e-126	9.43586960261232e-123
ENSG00000254535	PABPC4L	4942	0	0	0	4.74750720934565	3.87602110883187	3.88409371610401	9.14664351774893	1.17989335222266	1.28060366481072e-35	1.31558775375443e-33
ENSG00000178162	FAR2P2	4209	0	0	0	1.82596431128679	1.72267604836972	3.23674476342001	8.26242763970059	-0.251161015605421	1.16844296301198e-20	5.11583277305413e-19
ENSG00000136869	TLR4	5445	0.0677691241385835	0	0	8.86896951196439	8.36728366351006	7.06198857473457	8.19276030695635	1.5156517533984	1.84744450018177e-65	4.92357346577427e-63
ENSG00000260398	RP11-594N15.3	3753	0	0	0	2.39983880911978	1.66115190378509	1.53009752452582	7.99630203204755	0.781791736844085	2.74657933619613e-23	1.43485361969633e-21
ENSG00000184867	ARMCX2	5474	0	0	0	1.40860104013552	1.53810361461582	2.11859657242037	7.83959303154483	2.00619725021135	4.42480439129782e-21	2.01905032137905e-19
ENSG00000144451	SPAG16	8389	0.406614744831501	0.129651372887208	0.473383215848959	65.5260335707487	68.3533246335271	71.7968838431348	7.60327055392793	4.77787189218768	2.90965008658888e-311	1.33763888605707e-307
ENSG00000169432	SCN9A	15008	0	0	0	1.51294185792334	0.799813879600227	1.41239771494691	7.41274248335307	-0.493849419445716	6.91311105722916e-15	1.91453613300282e-13
ENSG00000151789	ZNF385D	7463	0.135538248277167	0.129651372887208	0.157794405282986	20.7116523308816	24.4250854000992	30.7785002048848	7.4011606344001	3.72530566085504	1.59234283919083e-129	1.62675513721557e-126
ENSG00000111885	MAN1A1	5498	0	0.064825686443604	0.0525981350943288	7.04300520067761	8.12118708517153	5.76729066936657	7.18383216625191	1.59376677706858	4.45298680456314e-56	9.412180959668e-54
ENSG00000189060	H1F0	2328	0.0677691241385835	0	0.368186945660302	19.8247553796851	21.6564988937908	30.4254007761481	7.1656156687017	4.3201010508886	8.25308823740728e-47	1.28615287794646e-44
ENSG00000198932	GPRASP1	6529	0.0677691241385835	0.129651372887208	0.0525981350943288	11.2688083210842	12.5509254952651	14.4182266734164	7.16475743628003	2.44769529979137	2.17647323428206e-47	3.42078344488998e-45
ENSG00000163285	GABRG1	6776	0	0	0.0525981350943288	4.69533680045174	3.7529728196626	2.58939581073601	7.06288030744092	0.886911238230682	2.37845211401452e-32	2.0342956244006e-30
ENSG00000267640	CTD-2554C21.2	1661	0	0	0	0.782556133408623	0.676765590430961	1.11814819099964	6.87479128090186	-1.47283313068371	1.47380478313581e-11	3.03152082294009e-10
ENSG00000164796	CSMD3	22491	0.338845620692917	0.648256864436039	0.578579486037617	55.3006334275427	61.4626204400482	51.0228674524573	6.70658355503677	4.96251099236868	5.5769037902268e-247	2.05107367596961e-243
ENSG00000118508	RAB32	1214	0	0	0.105196270188658	3.13022453363449	5.16802814510916	5.06109181189311	6.53268848417873	1.70091047662775	1.74393317861335e-41	2.15229444439737e-39
ENSG00000171033	PKIA	4324	0.542152993108668	0.453779805105228	0.42078508075463	46.7446863689417	42.2670873296427	30.9550499192532	6.39496969082744	5.21293612207616	1.09799394066041e-136	1.34606737165361e-133
ENSG00000198865	CCDC152	3489	0.0677691241385835	0.129651372887208	0	6.31261947616289	4.24516597633966	5.35534133584038	6.28050881287759	0.906925806136895	5.24762764340171e-41	6.25610402452128e-39
ENSG00000119673	ACOT2	1896	0.0677691241385835	0.259302745774416	0.105196270188658	10.5384225965695	11.1973943144032	13.064678863259	6.27521723729904	2.42546636967206	2.52159416743028e-85	1.25323230121285e-82
ENSG00000239713	APOBEC3G	5277	0.135538248277167	0	0.105196270188658	4.4866551648761	4.79888327760136	8.29783657531312	6.04814204653384	0.882787967962853	7.03854882901718e-33	6.252747556367e-31
ENSG00000271147	RP4-769N13.6	2739	0.0677691241385835	0	0	1.77379390239288	2.27639334963141	1.294697905368	6.00774432058095	-0.0392745471205397	1.87764742639394e-18	7.06095266338612e-17
ENSG00000155966	AFF2	14420	1.42315160691025	0.713082550879643	1.42014964754688	65.6303743885365	72.4754423206975	68.7366887940832	5.83938763326129	4.29671529821794	1.2776914638816e-212	3.35649547561698e-209
ENSG00000224689	ZNF812	3523	0	0.064825686443604	0.0525981350943288	3.23456535142231	2.95315894006238	2.00089676284146	5.83663583651351	-0.119059875537369	7.53378353727335e-24	4.08668865684129e-22
ENSG00000125430	HS3ST3B1	5105	2.30415022071184	2.13924765263893	1.57794405282986	110.601266855085	108.220970324369	99.9859882372836	5.74247654104447	5.56147340793402	0	0
ENSG00000125962	ARMCX5	3360	0.20330737241575	0.32412843221802	0.105196270188658	9.75586646316083	12.2433047723419	10.8283824812597	5.6948819255328	2.26701318657652	1.56425846111705e-79	5.87043853907785e-77
